annotation_id,tool,source_file,source_index,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
1,echo,everything_tools.json,0,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
2,get-annotated-message,everything_tools.json,1,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
3,get-env,everything_tools.json,2,C2,C2,True,CORRECT,C2,Sensitive Data Access,env,0.7,Tool matches: env. Evidence: C2 Sensitive Data Access via 'env' (Medium),False,
4,get-resource-links,everything_tools.json,3,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
5,get-resource-reference,everything_tools.json,4,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
6,get-roots-list,everything_tools.json,5,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
7,get-structured-content,everything_tools.json,6,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
8,get-sum,everything_tools.json,7,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
9,get-tiny-image,everything_tools.json,8,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
10,gzip-file-as-resource,everything_tools.json,9,C4,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","gzip,openWorldHint",0.7,"Tool matches: gzip, openWorldHint. Evidence: C4 State Modification via 'gzip' (Medium); C1 External Data Ingestion via 'openWorldHint' (Low)",True,
11,toggle-simulated-logging,everything_tools.json,10,C4,C4,True,CORRECT,C4,State Modification,toggle,0.7,Tool matches: toggle. Evidence: C4 State Modification via 'toggle' (Medium),False,
12,toggle-subscriber-updates,everything_tools.json,11,C4,C4,True,CORRECT,C4,State Modification,updates,1.0,Tool matches: updates. Evidence: C4 State Modification via 'updates' (High),False,
13,trigger-long-running-operation,everything_tools.json,12,,C4,False,MISCLASSIFIED,C4,State Modification,updates,0.7,Tool matches: updates. Evidence: C4 State Modification via 'updates' (Medium) [readOnlyHint=true contradicts write-side capability -> lowered one step],False,
14,trigger-elicitation-request,everything_tools.json,13,C3,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","trigger,elicitation",0.4,"Tool matches: trigger, elicitation. Evidence: C4 State Modification via 'trigger' (Low); C1 External Data Ingestion via 'elicitation' (Low)",True,
15,trigger-elicitation-request-async,everything_tools.json,14,C3,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","trigger,elicitation",0.4,"Tool matches: trigger, elicitation. Evidence: C4 State Modification via 'trigger' (Low); C1 External Data Ingestion via 'elicitation' (Low)",True,
16,trigger-sampling-request,everything_tools.json,15,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","sampling-request,trigger",0.7,"Tool matches: sampling-request, trigger. Evidence: C1 External Data Ingestion via 'sampling-request' (Medium) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,
17,trigger-sampling-request-async,everything_tools.json,16,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","sampling-request,trigger",0.7,"Tool matches: sampling-request, trigger. Evidence: C1 External Data Ingestion via 'sampling-request' (Medium) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,
18,simulate-research-query,everything_tools.json,17,,C1,False,MISCLASSIFIED,C1,External Data Ingestion,research-query,0.7,Tool matches: research-query. Evidence: C1 External Data Ingestion via 'research-query' (Medium),False,
19,trigger-url-elicitation,everything_tools.json,18,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","url,trigger",1.0,"Tool matches: url, trigger. Evidence: C1 External Data Ingestion via 'url' (High) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,
20,write_file,filesystem_tools.json,0,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
21,edit_file,filesystem_tools.json,1,C4,C4,True,CORRECT,C4,State Modification,replace,1.0,Tool matches: replace. Evidence: C4 State Modification via 'replace' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
22,create_directory,filesystem_tools.json,2,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High),False,
23,list_directory,filesystem_tools.json,3,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_directory list directory,0.7,Tool matches: list_directory list directory. Evidence: C2 Sensitive Data Access via 'list_directory list directory' (Medium),False,
24,list_directory_with_sizes,filesystem_tools.json,4,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_directory,0.7,Tool matches: list_directory. Evidence: C2 Sensitive Data Access via 'list_directory' (Medium),False,
25,directory_tree,filesystem_tools.json,5,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,show directory,0.7,Tool matches: show directory. Evidence: C2 Sensitive Data Access via 'show directory' (Medium),False,
26,move_file,filesystem_tools.json,6,C4,C4,True,CORRECT,C4,State Modification,move,1.0,Tool matches: move. Evidence: C4 State Modification via 'move' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
27,search_files,filesystem_tools.json,7,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,search_files search files/directories,0.7,Tool matches: search_files search files/directories. Evidence: C2 Sensitive Data Access via 'search_files search files/directories' (Medium),False,
28,get_file_info,filesystem_tools.json,8,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,file/directory metadata,0.7,Tool matches: file/directory metadata. Evidence: C2 Sensitive Data Access via 'file/directory metadata' (Medium),False,
29,list_allowed_directories,filesystem_tools.json,9,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_allowed_directories list accessible directories,0.7,Tool matches: list_allowed_directories list accessible directories. Evidence: C2 Sensitive Data Access via 'list_allowed_directories list accessible directories' (Medium),False,
30,git_status,git_tools.json,0,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,git_status,0.4,Tool matches: git_status. Evidence: C2 Sensitive Data Access via 'git_status' (Low),False,
